career,skill_1,skill_2,skill_3,skill_4,skill_5,skill_6,skill_7,skill_8,score
Data Analyst,Tableau,Terraform,Presentation,Agile,Scala,Communication,Scikit‑learn,Cryptography,67
Data Analyst,Terraform,Prototyping,Scala,Kotlin,NLP,A/B Testing,Communication,Statistics,71
Data Analyst,Communication,A/B Testing,Statistics,SwiftUI,Excel,Scala,Prototyping,Cryptography,66
Data Analyst,SQL,C++,Presentation,Communication,Statistics,SwiftUI,NLP,TensorFlow,90
Data Analyst,SwiftUI,Excel,Agile,A/B Testing,SQL,Kotlin,Communication,Statistics,68
Data Analyst,A/B Testing,Scikit‑learn,Communication,Statistics,NLP,PyTorch,Kotlin,Prototyping,60
Data Analyst,Excel,SwiftUI,Agile,NLP,A/B Testing,Cryptography,Kotlin,C#,84
Data Analyst,Scikit‑learn,Prototyping,C++,Statistics,NLP,Presentation,Kotlin,Excel,85
Data Analyst,Scikit‑learn,Kotlin,SQL,SwiftUI,Presentation,Statistics,Prototyping,Agile,67
Data Analyst,A/B Testing,Agile,Kotlin,PyTorch,C#,Tableau,Presentation,Scikit‑learn,59
Data Analyst,NLP,TensorFlow,Scikit‑learn,SwiftUI,Scala,C++,Cryptography,Agile,73
Data Analyst,Scikit‑learn,TensorFlow,Tableau,C#,A/B Testing,Statistics,Terraform,SQL,59
Data Scientist,Leadership,PHP,AWS,Scrum,JavaScript,Scikit‑learn,React Native,Python,79
Data Scientist,Terraform,AWS,Zapier,Vulnerability Scanning,Leadership,Computer Vision,Scrum,Scikit‑learn,90
Data Scientist,Zapier,React Native,Scikit‑learn,Statistics,Vulnerability Scanning,AWS,Serverless,Tableau,50
Data Scientist,JavaScript,Scrum,Next.js,Terraform,Leadership,Tableau,Vulnerability Scanning,Serverless,69
Data Scientist,Design Systems,ML,JavaScript,Python,Zapier,Statistics,PHP,Information Architecture,98
Data Scientist,PHP,Scikit‑learn,Information Architecture,Next.js,Vulnerability Scanning,JavaScript,AWS,Zero Trust,77
Data Scientist,React Native,PHP,JavaScript,Zero Trust,Serverless,Scrum,Tableau,Vulnerability Scanning,78
Data Scientist,Zapier,Tableau,Leadership,Design Systems,JavaScript,ML,Vulnerability Scanning,Terraform,87
Data Scientist,PHP,Design Systems,Information Architecture,Terraform,Python,Statistics,Scrum,Zapier,64
Data Scientist,Python,ML,Scrum,JavaScript,Design Systems,Scikit‑learn,PHP,Next.js,63
Data Scientist,PHP,Scikit‑learn,Next.js,Design Systems,JavaScript,Serverless,React Native,Leadership,56
Data Scientist,Leadership,Computer Vision,Statistics,Information Architecture,Zapier,Design Systems,Next.js,PHP,53
ML Engineer,Bash,Airtable,NLP,Flutter,BigQuery,Teamwork,Ruby,PyTorch,85
ML Engineer,Swift,Ruby,Penetration Testing,Python,TensorFlow,Flutter,Statistics,Teamwork,60
ML Engineer,Bash,PyTorch,MLOps,Agile,Statistics,Flutter,Python,TensorFlow,74
ML Engineer,Python,Statistics,NLP,Flutter,Django,Agile,Problem Solving,Bash,85
ML Engineer,PyTorch,Leadership,Agile,Django,Penetration Testing,Python,GCP,Problem Solving,84
ML Engineer,Ruby,Kotlin,Teamwork,Penetration Testing,PyTorch,NLP,Bash,Flutter,60
ML Engineer,Ruby,GCP,TensorFlow,Airtable,Penetration Testing,Django,Teamwork,Kotlin,65
ML Engineer,Statistics,Swift,BigQuery,Ruby,TensorFlow,Agile,Kotlin,Django,86
ML Engineer,GCP,Kotlin,NLP,Agile,MLOps,Swift,Leadership,Teamwork,58
ML Engineer,Django,Flutter,Kotlin,TensorFlow,Python,BigQuery,Teamwork,Bash,56
ML Engineer,TensorFlow,Penetration Testing,Agile,GCP,NLP,Teamwork,Airtable,Ruby,65
ML Engineer,Problem Solving,Django,Airtable,Flutter,MLOps,PyTorch,Statistics,Kotlin,83
AI Researcher,Recommendation Systems,NLP,Scrum,Time Management,Jetpack Compose,Arduino,Kotlin,Python,53
AI Researcher,Power BI,PyTorch,Jetpack Compose,SQL,Critical Thinking,Leadership,React,Recommendation Systems,90
AI Researcher,Jetpack Compose,Leadership,Time Series,PyTorch,Critical Thinking,SQL,JavaScript,Statistics,59
AI Researcher,JavaScript,SQL,Statistics,Python,PyTorch,Power BI,Critical Thinking,HTML,73
AI Researcher,SQL,Statistics,NLP,Kotlin,CV,Leadership,React,Jetpack Compose,76
AI Researcher,Recommendation Systems,Python,Kotlin,Leadership,HTML,Time Series,NLP,Critical Thinking,61
AI Researcher,Scrum,PyTorch,Kotlin,Jetpack Compose,Leadership,React,Statistics,SQL,74
AI Researcher,SQL,Arduino,Kotlin,NLP,Time Series,Leadership,Python,React,64
AI Researcher,Kotlin,Critical Thinking,NLP,React,Scrum,Python,PyTorch,SQL,99
AI Researcher,Jetpack Compose,Statistics,HTML,React,Scrum,Critical Thinking,SQL,Python,61
AI Researcher,Time Management,Jetpack Compose,SQL,CV,PyTorch,Leadership,Statistics,React,70
AI Researcher,PyTorch,HTML,CV,React,NLP,Python,Critical Thinking,Statistics,77
Backend Developer,Python,React Native,PHP,IDS/IPS,Express,PostgreSQL,Robotics,Problem Solving,68
Backend Developer,Penetration Testing,Leadership,Robotics,Express,REST API,Scrum,Problem Solving,Node.js,89
Backend Developer,IDS/IPS,React Native,REST API,Critical Thinking,Angular,Leadership,Python,Robotics,87
Backend Developer,Angular,Scrum,SwiftUI,Penetration Testing,PHP,IDS/IPS,Python,CI/CD,80
Backend Developer,PostgreSQL,Node.js,React Native,PHP,Scrum,UX Writing,Express,REST API,65
Backend Developer,React Native,Django,Robotics,Leadership,Critical Thinking,Spark,Python,IDS/IPS,89
Backend Developer,Node.js,SwiftUI,Express,Robotics,REST API,Django,PHP,Python,59
Backend Developer,Critical Thinking,Python,Express,Django,PostgreSQL,REST API,Problem Solving,CI/CD,79
Backend Developer,UX Writing,Penetration Testing,Django,Python,SwiftUI,Node.js,REST API,IDS/IPS,92
Backend Developer,PHP,Penetration Testing,Scrum,SwiftUI,Express,Spark,CI/CD,Django,60
Backend Developer,Spark,SwiftUI,CI/CD,Django,Penetration Testing,REST API,IDS/IPS,Angular,81
Backend Developer,Django,CI/CD,SwiftUI,Node.js,React Native,Python,Leadership,PostgreSQL,70
Frontend Developer,AWS,CSS,PyTorch,R,HTML,Statistics,Docker,Cryptography,69
Frontend Developer,PyTorch,CSS,HTML,Statistics,PHP,Ruby,Scikit‑learn,AWS,81
Frontend Developer,R,PyTorch,React,Accessibility,Cryptography,CSS,Statistics,Kubernetes,89
Frontend Developer,HTML,R,PyTorch,Accessibility,Kubernetes,React,AWS,PHP,79
Frontend Developer,Cryptography,Power BI,Serverless,PyTorch,React,Ruby,Statistics,Time Management,71
Frontend Developer,PyTorch,Serverless,CSS,Accessibility,Kubernetes,Statistics,R,Express,84
Frontend Developer,Power BI,Express,Statistics,Kubernetes,Time Management,PyTorch,R,Ruby,62
Frontend Developer,R,Scikit‑learn,Statistics,Accessibility,PHP,React,Power BI,Presentation,63
Frontend Developer,Android,Serverless,Express,Cryptography,Ruby,PyTorch,CSS,Kubernetes,69
Frontend Developer,Ruby,Accessibility,R,Presentation,PyTorch,AWS,Express,Time Management,54
Frontend Developer,Accessibility,Statistics,Ruby,Presentation,HTML,PyTorch,Docker,Android,52
Frontend Developer,Express,HTML,CSS,Time Management,Kubernetes,Serverless,React,Cryptography,50
Full‑Stack Developer,Time Series,REST API,React,Presentation,Raspberry Pi,PostgreSQL,Flutter,Power BI,55
Full‑Stack Developer,Raspberry Pi,React,Kotlin,Android,Git,PostgreSQL,SQL,Time Series,70
Full‑Stack Developer,PostgreSQL,REST API,CI/CD,Problem Solving,Raspberry Pi,IDS/IPS,Kubernetes,User Research,94
Full‑Stack Developer,Raspberry Pi,Time Series,SQL,Flutter,CI/CD,Node.js,Power BI,Problem Solving,76
Full‑Stack Developer,REST API,Time Series,Kotlin,IDS/IPS,Flutter,Android,Git,SQL,55
Full‑Stack Developer,User Research,Kotlin,Git,Android,IDS/IPS,Data Cleaning,REST API,PostgreSQL,80
Full‑Stack Developer,Time Series,Flutter,Problem Solving,Presentation,Data Cleaning,PostgreSQL,IDS/IPS,Kotlin,67
Full‑Stack Developer,User Research,Raspberry Pi,Kotlin,Power BI,CI/CD,PostgreSQL,Node.js,Problem Solving,84
Full‑Stack Developer,PostgreSQL,CI/CD,Android,REST API,Raspberry Pi,Problem Solving,User Research,Git,83
Full‑Stack Developer,IDS/IPS,User Research,Power BI,CI/CD,Android,Time Series,PostgreSQL,Communication,69
Full‑Stack Developer,SQL,Time Series,Kubernetes,Raspberry Pi,Node.js,IDS/IPS,Flutter,Android,94
Full‑Stack Developer,Kubernetes,REST API,Power BI,SQL,User Research,Kotlin,React,Presentation,71
Mobile Developer,GCP,Scrum,Power BI,Rust,Redis,Raspberry Pi,iOS,Robotics,88
Mobile Developer,Information Architecture,Rust,Android,iOS,Flutter,APIs,GCP,Leadership,87
Mobile Developer,Computer Vision,Scrum,Figma,Redis,Robotics,TypeScript,Android,Leadership,92
Mobile Developer,Power BI,PostgreSQL,Rust,GCP,Information Architecture,APIs,SQL,Robotics,78
Mobile Developer,Information Architecture,APIs,Scrum,Figma,Rust,Leadership,ETL,Flutter,94
Mobile Developer,Flutter,Power BI,Rust,Raspberry Pi,Robotics,APIs,Figma,Android,64
Mobile Developer,Leadership,Raspberry Pi,Information Architecture,Power BI,Figma,Android,iOS,PHP,88
Mobile Developer,GCP,Scrum,Flutter,Redis,PHP,ETL,Leadership,APIs,75
Mobile Developer,Raspberry Pi,Android,PHP,APIs,Flutter,Figma,Scrum,SQL,77
Mobile Developer,TypeScript,Raspberry Pi,SQL,Power BI,Rust,Information Architecture,Computer Vision,Scrum,87
Mobile Developer,SQL,Raspberry Pi,Figma,PostgreSQL,APIs,GCP,TypeScript,Rust,67
Mobile Developer,PostgreSQL,GCP,Computer Vision,APIs,Power BI,Rust,Information Architecture,Robotics,71
DevOps Engineer,C#,Zero Trust,Time Management,Kubernetes,Git,Tableau,Arduino,Critical Thinking,92
DevOps Engineer,GCP,Express,Tableau,MongoDB,CI/CD,Zero Trust,Linux,Scala,98
DevOps Engineer,Docker,Express,MongoDB,CI/CD,Zero Trust,Time Management,Node.js,Leadership,78
DevOps Engineer,Docker,Kubernetes,Critical Thinking,Kotlin,Linux,Leadership,Zero Trust,GCP,85
DevOps Engineer,Tableau,Node.js,Kotlin,Kubernetes,Express,MongoDB,C#,Arduino,81
DevOps Engineer,Scala,HTML,Zero Trust,Tableau,Docker,Kotlin,Kubernetes,Express,85
DevOps Engineer,Leadership,Git,CI/CD,HTML,Time Management,Tableau,MongoDB,Docker,99
DevOps Engineer,Tableau,C#,HTML,Zero Trust,Critical Thinking,Leadership,Copywriting,Express,87
DevOps Engineer,Arduino,Docker,Leadership,Express,Time Management,Linux,HTML,Zero Trust,98
DevOps Engineer,GCP,Git,Express,C#,CI/CD,Copywriting,Kubernetes,Scala,74
DevOps Engineer,Kotlin,Tableau,MongoDB,C#,Docker,Copywriting,Git,CI/CD,74
DevOps Engineer,Leadership,Docker,MongoDB,Time Management,C#,Tableau,GCP,Kotlin,56
Cloud Engineer,Networking,Power BI,TypeScript,Recommendation Systems,JavaScript,Kafka,Excel,Docker,81
Cloud Engineer,JavaScript,UX Writing,Power BI,Django,AWS,No‑Code,Excel,Time Management,77
Cloud Engineer,No‑Code,Recommendation Systems,Git,Linux,AWS,JavaScript,Terraform,Problem Solving,70
Cloud Engineer,UX Writing,AWS,Excel,JavaScript,Problem Solving,Power BI,No‑Code,React Native,76
Cloud Engineer,Time Management,Linux,Recommendation Systems,JavaScript,Power BI,AWS,Problem Solving,Vulnerability Scanning,89
Cloud Engineer,Django,Kafka,Agile,Recommendation Systems,Git,TypeScript,JavaScript,Docker,66
Cloud Engineer,Terraform,Git,AWS,Linux,Power BI,Django,Docker,JavaScript,69
Cloud Engineer,Problem Solving,React Native,Git,AWS,Vulnerability Scanning,Kafka,Recommendation Systems,Django,56
Cloud Engineer,Django,Networking,Excel,AWS,Docker,Terraform,Problem Solving,TypeScript,75
Cloud Engineer,React Native,Terraform,UX Writing,Kafka,AWS,Networking,Git,No‑Code,88
Cloud Engineer,Excel,Django,Vulnerability Scanning,React Native,Agile,TypeScript,UX Writing,Git,91
Cloud Engineer,UX Writing,AWS,Git,Recommendation Systems,Excel,Kafka,Power BI,Docker,68
Cybersecurity Analyst,REST API,SIEM,Jetpack Compose,Kubernetes,Computer Vision,Threat Modeling,Communication,Scrum,64
Cybersecurity Analyst,Scrum,Matplotlib,Raspberry Pi,Communication,IDS/IPS,Node.js,No‑Code,NumPy,57
Cybersecurity Analyst,Computer Vision,Raspberry Pi,NumPy,Scrum,Spark,Threat Modeling,Jetpack Compose,Kubernetes,80
Cybersecurity Analyst,Node.js,Matplotlib,Jetpack Compose,Vulnerability Scanning,Communication,Spark,Data Cleaning,Time Series,94
Cybersecurity Analyst,SIEM,Data Cleaning,Kubernetes,No‑Code,Threat Modeling,Node.js,Time Series,Vulnerability Scanning,57
Cybersecurity Analyst,Kubernetes,Vulnerability Scanning,Matplotlib,No‑Code,Scrum,Spark,Linux,Jetpack Compose,97
Cybersecurity Analyst,Matplotlib,Data Cleaning,No‑Code,Spark,Kubernetes,Time Series,Vulnerability Scanning,SIEM,76
Cybersecurity Analyst,NumPy,Threat Modeling,Raspberry Pi,Cryptography,Computer Vision,Vulnerability Scanning,Kubernetes,Linux,56
Cybersecurity Analyst,Raspberry Pi,Matplotlib,IDS/IPS,Threat Modeling,Scrum,No‑Code,Kubernetes,Time Series,79
Cybersecurity Analyst,Communication,Cryptography,Node.js,Threat Modeling,Jetpack Compose,Kubernetes,IDS/IPS,Scrum,86
Cybersecurity Analyst,Cryptography,Communication,Matplotlib,IDS/IPS,Time Series,Data Cleaning,Computer Vision,Kubernetes,71
Cybersecurity Analyst,No‑Code,Node.js,NumPy,IDS/IPS,Time Series,Matplotlib,REST API,Scrum,61
Security Engineer,Java,NumPy,Zapier,Node.js,SQL,Leadership,Data Cleaning,Vulnerability Scanning,73
Security Engineer,Zapier,JavaScript,Node.js,Data Cleaning,Leadership,IAM,Critical Thinking,Cryptography,92
Security Engineer,Zapier,IAM,Data Cleaning,Critical Thinking,XGBoost,Leadership,NumPy,No‑Code,77
Security Engineer,Node.js,C++,Data Cleaning,SQL,Zapier,FastAPI,IAM,JavaScript,54
Security Engineer,Java,Prototyping,Penetration Testing,Rust,Vulnerability Scanning,IAM,JavaScript,Recommendation Systems,79
Security Engineer,Zapier,NumPy,Node.js,Penetration Testing,No‑Code,C++,Leadership,Recommendation Systems,76
Security Engineer,Rust,Data Cleaning,Vulnerability Scanning,NumPy,Node.js,FastAPI,No‑Code,JavaScript,92
Security Engineer,Prototyping,Cryptography,Java,C++,SQL,XGBoost,NumPy,Data Cleaning,55
Security Engineer,NumPy,Node.js,Cryptography,Java,XGBoost,IAM,Prototyping,Recommendation Systems,71
Security Engineer,Node.js,NumPy,Cryptography,JavaScript,XGBoost,Java,IAM,Data Cleaning,72
Security Engineer,Node.js,JavaScript,Zapier,No‑Code,Java,Rust,Leadership,Recommendation Systems,56
Security Engineer,Cryptography,Penetration Testing,Recommendation Systems,Node.js,Prototyping,IAM,Zapier,Vulnerability Scanning,77
Network Engineer,User Research,Networking,Problem Solving,Critical Thinking,IAM,C++,Communication,Time Management,92
Network Engineer,Bash,Communication,Agile,Critical Thinking,Teamwork,Problem Solving,ETL,Security,74
Network Engineer,C++,Presentation,Networking,IAM,Problem Solving,Agile,Time Series,Arduino,99
Network Engineer,Teamwork,Communication,UX Writing,Agile,IAM,Bash,User Research,Critical Thinking,93
Network Engineer,Communication,ETL,Presentation,C++,Time Series,User Research,Marketing Analytics,Linux,67
Network Engineer,Linux,Arduino,Security,Problem Solving,C++,UX Writing,Agile,Networking,93
Network Engineer,Teamwork,Time Series,Arduino,User Research,UX Writing,Security,Linux,Accessibility,53
Network Engineer,Critical Thinking,Linux,User Research,Teamwork,Agile,Bash,Time Series,C++,70
Network Engineer,Security,Critical Thinking,Time Series,C++,IAM,Communication,Linux,ETL,95
Network Engineer,Marketing Analytics,Arduino,Accessibility,Problem Solving,Communication,Linux,C++,Teamwork,52
Network Engineer,C++,Critical Thinking,Presentation,Communication,Networking,User Research,Linux,Accessibility,75
Network Engineer,C++,User Research,Security,Bash,Critical Thinking,IAM,Communication,Arduino,89
Site Reliability Engineer,CI/CD,NLP,Time Management,Prototyping,Scripting,Linux,Vue,Communication,83
Site Reliability Engineer,REST API,Agile,Kotlin,Vue,Azure,Kubernetes,Communication,Scripting,66
Site Reliability Engineer,Agile,Prototyping,Azure,Scripting,GCP,Observability,CI/CD,NLP,79
Site Reliability Engineer,GCP,Time Management,Scala,CI/CD,REST API,Scripting,NLP,Communication,80
Site Reliability Engineer,Scala,Vulnerability Scanning,Linux,Communication,Kotlin,Vue,REST API,Azure,79
Site Reliability Engineer,Scala,Communication,GCP,Kotlin,Vulnerability Scanning,Vue,CI/CD,Time Management,89
Site Reliability Engineer,Time Management,REST API,Observability,Scala,Communication,NLP,Vue,Vulnerability Scanning,91
Site Reliability Engineer,Agile,CI/CD,Git,REST API,Azure,R,NLP,Communication,71
Site Reliability Engineer,Scripting,REST API,Prototyping,Communication,NLP,Kotlin,Git,Problem Solving,83
Site Reliability Engineer,REST API,Prototyping,Kotlin,Vue,Vulnerability Scanning,Agile,Scala,Observability,71
Site Reliability Engineer,Time Management,Communication,CI/CD,Scripting,Vue,GCP,Linux,Git,74
Site Reliability Engineer,Vulnerability Scanning,Linux,Azure,CI/CD,Scripting,Time Management,REST API,Git,72
QA Engineer,Zapier,Azure,Vue,Teamwork,Presentation,Critical Thinking,IAM,Automation,61
QA Engineer,Selenium,Problem Solving,Next.js,Teamwork,CI/CD,Azure,Test Design,R,68
QA Engineer,Leadership,Zapier,Android,Arduino,R,Problem Solving,IAM,Express,89
QA Engineer,Automation,Express,Teamwork,IAM,Zapier,Vue,Presentation,Arduino,89
QA Engineer,IAM,Test Design,R,Vue,Presentation,Problem Solving,Next.js,Leadership,78
QA Engineer,Teamwork,Design Systems,Test Design,CI/CD,Zapier,Automation,Express,Vue,80
QA Engineer,Selenium,Presentation,Test Design,Android,Design Systems,Express,Teamwork,NumPy,83
QA Engineer,Vue,IAM,Selenium,Automation,NumPy,Critical Thinking,Problem Solving,CI/CD,73
QA Engineer,Android,Leadership,Zapier,Arduino,Design Systems,R,Express,Azure,67
QA Engineer,Test Design,Zapier,Automation,Vue,Azure,Teamwork,Leadership,CI/CD,72
QA Engineer,Critical Thinking,Vue,R,Express,Presentation,Leadership,Selenium,Android,73
QA Engineer,CI/CD,Critical Thinking,Problem Solving,Leadership,Android,Express,Azure,Vue,52
Automation Engineer,HTML,Flutter,Computer Vision,Power BI,User Research,Android,Python,Communication,53
Automation Engineer,CI/CD,Computer Vision,Kafka,Java,Power BI,Android,HTML,User Research,84
Automation Engineer,R,Flutter,CI/CD,Python,User Research,Selenium,HTML,Presentation,72
Automation Engineer,CI/CD,Android,Computer Vision,Scikit‑learn,Java,Zero Trust,Flutter,Communication,83
Automation Engineer,APIs,Flutter,Android,R,Copywriting,Computer Vision,CI/CD,HTML,90
Automation Engineer,Copywriting,Bash,Zero Trust,R,Android,HTML,Communication,Scikit‑learn,65
Automation Engineer,Power BI,Android,Statistics,Python,Communication,Scikit‑learn,Zero Trust,Kafka,91
Automation Engineer,Scikit‑learn,Kafka,Presentation,HTML,Python,Communication,Bash,Copywriting,79
Automation Engineer,Communication,User Research,Selenium,HTML,APIs,Kafka,R,Scikit‑learn,69
Automation Engineer,Flutter,Copywriting,APIs,Presentation,Zero Trust,R,Android,Statistics,62
Automation Engineer,User Research,Bash,Communication,Statistics,Zero Trust,APIs,Copywriting,Scikit‑learn,77
Automation Engineer,Copywriting,Kafka,HTML,Statistics,Scikit‑learn,CI/CD,Bash,Android,73
Embedded Engineer,Time Series,Vue,Cryptography,IDS/IPS,C++,Kotlin,R,CSS,72
Embedded Engineer,IDS/IPS,Vue,C,Critical Thinking,Terraform,ETL,Time Series,CI/CD,73
Embedded Engineer,RTOS,Cryptography,R,Airtable,Time Series,Arduino,Terraform,Critical Thinking,65
Embedded Engineer,C++,IDS/IPS,Flutter,Critical Thinking,Airtable,ETL,Kotlin,Cryptography,73
Embedded Engineer,Time Series,Terraform,Airtable,RTOS,C++,CI/CD,Cryptography,ETL,67
Embedded Engineer,Kotlin,Node.js,R,Cryptography,CSS,C,CI/CD,Time Series,57
Embedded Engineer,C,IDS/IPS,Time Series,CI/CD,Raspberry Pi,C++,Kotlin,Node.js,57
Embedded Engineer,Airtable,Terraform,Time Series,Cryptography,Arduino,Critical Thinking,Flutter,ETL,70
Embedded Engineer,C++,Terraform,Arduino,Raspberry Pi,RTOS,Vue,Accessibility,IDS/IPS,95
Embedded Engineer,Cryptography,C++,RTOS,Kotlin,Node.js,CSS,Flutter,Terraform,65
Embedded Engineer,CSS,R,C++,Arduino,Time Series,Flutter,C,Terraform,89
Embedded Engineer,Terraform,IDS/IPS,Raspberry Pi,Flutter,CSS,C,CI/CD,RTOS,76
Game Developer,IDS/IPS,ETL,Serverless,Flask,Figma,Raspberry Pi,Communication,Angular,60
Game Developer,Prototyping,Scrum,Unity,3D Math,Zero Trust,ETL,Flask,IDS/IPS,62
Game Developer,Teamwork,Raspberry Pi,IDS/IPS,Zero Trust,Communication,Salesforce,Scrum,C#,87
Game Developer,Salesforce,IDS/IPS,Prototyping,Scrum,Flask,ETL,Bash,Graphics,55
Game Developer,Flask,Salesforce,Raspberry Pi,NumPy,ETL,Zero Trust,Scrum,Graphics,81
Game Developer,Teamwork,Zero Trust,Salesforce,C#,Unity,TypeScript,Bash,Scrum,75
Game Developer,Zero Trust,Bash,Communication,Flask,Prototyping,Unity,NumPy,Salesforce,79
Game Developer,NumPy,Scrum,IDS/IPS,Salesforce,Serverless,3D Math,ETL,Prototyping,75
Game Developer,IDS/IPS,3D Math,Serverless,Figma,Scrum,Teamwork,Unity,Flask,67
Game Developer,Bash,Unity,IDS/IPS,Figma,Flask,Teamwork,NumPy,Zero Trust,76
Game Developer,Unity,Prototyping,Scrum,Teamwork,NumPy,TypeScript,Communication,Angular,82
Game Developer,Bash,C#,Zero Trust,Salesforce,Graphics,Flask,NumPy,Raspberry Pi,79
AR/VR Developer,Kafka,Scikit‑learn,Design Systems,Problem Solving,C#,Rust,XGBoost,Kotlin,53
AR/VR Developer,Teamwork,Penetration Testing,Kotlin,Problem Solving,Wireframing,MongoDB,JavaScript,Design Systems,78
AR/VR Developer,Penetration Testing,Design Systems,Agile,Scikit‑learn,JavaScript,Kotlin,Rust,C#,71
AR/VR Developer,Penetration Testing,Problem Solving,Scikit‑learn,Kotlin,C#,Design Systems,XGBoost,Kafka,52
AR/VR Developer,Scikit‑learn,Scrum,3D,HTML,Shaders,FastAPI,Wireframing,Design Systems,58
AR/VR Developer,Scrum,JavaScript,Rust,C#,Wireframing,3D,Penetration Testing,Design Systems,82
AR/VR Developer,Penetration Testing,3D,Wireframing,Teamwork,XGBoost,Rust,Shaders,Scrum,57
AR/VR Developer,Kafka,Teamwork,Wireframing,XGBoost,3D,Scikit‑learn,Scrum,C#,99
AR/VR Developer,Teamwork,JavaScript,Unity,MongoDB,3D,FastAPI,Design Systems,Scrum,96
AR/VR Developer,JavaScript,C#,Scikit‑learn,Unity,MongoDB,Wireframing,Problem Solving,3D,62
AR/VR Developer,XGBoost,Shaders,Scrum,Kafka,Scikit‑learn,Kotlin,Problem Solving,Agile,76
AR/VR Developer,HTML,3D,MongoDB,Scikit‑learn,Kotlin,Design Systems,Rust,Scrum,80
UI/UX Designer,Marketing Analytics,Accessibility,Vulnerability Scanning,Django,Angular,Time Management,Prototyping,Agile,69
UI/UX Designer,React Native,Vulnerability Scanning,Accessibility,Scrum,Teamwork,Cryptography,Marketing Analytics,Data Cleaning,96
UI/UX Designer,Marketing Analytics,React Native,Agile,Data Cleaning,Penetration Testing,Git,Cryptography,Accessibility,59
UI/UX Designer,React Native,FastAPI,Angular,Airtable,User Research,Next.js,Django,Scrum,66
UI/UX Designer,Accessibility,Vulnerability Scanning,Time Management,Marketing Analytics,Penetration Testing,Airtable,FastAPI,React Native,97
UI/UX Designer,Time Management,Django,Angular,FastAPI,Teamwork,Scrum,Agile,Figma,56
UI/UX Designer,Git,Scrum,Accessibility,Agile,Prototyping,Figma,Marketing Analytics,Airtable,76
UI/UX Designer,Accessibility,Angular,Vulnerability Scanning,React Native,Scrum,Prototyping,Time Management,Figma,99
UI/UX Designer,Airtable,Time Management,Django,FastAPI,Cryptography,Vulnerability Scanning,Git,Angular,52
UI/UX Designer,Data Cleaning,Accessibility,Cryptography,React Native,FastAPI,Figma,Prototyping,Penetration Testing,88
UI/UX Designer,Agile,Scrum,React Native,Next.js,Accessibility,Penetration Testing,Airtable,Marketing Analytics,79
UI/UX Designer,Marketing Analytics,Vulnerability Scanning,Agile,Scrum,Cryptography,User Research,Django,Penetration Testing,66
